node,order,phylum,type,presence,fraction,bsh
n924,465,Firmicutes (N=187),MAG,1,0.1619,1
n925,466,Firmicutes (N=187),MAG,1,0.0022,1
n932,467,Actinobacteriota (N=383),SAG,0,0.0138,1
n933,468,Actinobacteriota (N=383),WGS,0,0.0152,1
n935,469,Actinobacteriota (N=383),SAG,1,0.0889,1
n936,470,Actinobacteriota (N=383),WGS,1,0.064,0
n939,471,Actinobacteriota (N=383),MAG,1,0.0176,0
n940,472,Actinobacteriota (N=383),MAG,1,0.3389,0
n943,473,Actinobacteriota (N=383),MAG,2,0.0259,1
n944,474,Actinobacteriota (N=383),WGS,2,0.0232,0
n946,475,Actinobacteriota (N=383),MAG,2,0.0825,1
n947,476,Actinobacteriota (N=383),WGS,1,0.1277,1
n950,477,Actinobacteriota (N=383),WGS,0,0.0037,0
n952,478,Actinobacteriota (N=383),MAG,0,0.0101,1
n953,479,Actinobacteriota (N=383),SAG,1,0.0238,0
n956,480,Actinobacteriota (N=383),MAG,1,0.0513,1
n957,481,Actinobacteriota (N=383),MAG,2,0.282,0
n959,482,Actinobacteriota (N=383),MAG,0,0.3173,1
n961,483,Actinobacteriota (N=383),WGS,0,0.099,1
n962,484,Actinobacteriota (N=383),SAG,0,0.0049,0
n966,485,Actinobacteriota (N=383),WGS,1,0.0183,1
n967,486,Actinobacteriota (N=383),MAG,1,0.0192,0
n969,487,Actinobacteriota (N=383),MAG,1,0.1146,1
n970,488,Actinobacteriota (N=383),WGS,2,0.054,1
n975,489,Actinobacteriota (N=383),WGS,2,0.0187,1
n976,490,Actinobacteriota (N=383),WGS,0,0.2465,1
n977,491,Actinobacteriota (N=383),WGS,0,0.0197,1
n980,492,Actinobacteriota (N=383),MAG,1,0.222,1
n981,493,Actinobacteriota (N=383),WGS,0,0.0786,1
n982,494,Actinobacteriota (N=383),SAG,1,0.0875,1
n985,495,Actinobacteriota (N=383),WGS,1,0.0872,1
n986,496,Actinobacteriota (N=383),MAG,0,0.0836,0
n987,497,Actinobacteriota (N=383),WGS,1,0.1925,1
n992,498,Actinobacteriota (N=383),MAG,1,0.0044,0
n993,499,Actinobacteriota (N=383),MAG,0,0.1472,1
n995,500,Actinobacteriota (N=383),MAG,1,0.2304,1
n998,501,Actinobacteriota (N=383),MAG,1,0.206,0
n999,502,Actinobacteriota (N=383),WGS,1,0.2194,0
n1000,503,Actinobacteriota (N=383),MAG,2,0.0128,1
n1005,504,Actinobacteriota (N=383),WGS,1,0.0201,0
n1006,505,Actinobacteriota (N=383),SAG,2,0.019,0
n1007,506,Actinobacteriota (N=383),WGS,2,0.1352,0
n1009,507,Actinobacteriota (N=383),WGS,2,0.3275,1
n1010,508,Actinobacteriota (N=383),MAG,1,0.0818,0
n1013,509,Actinobacteriota (N=383),WGS,2,0.0073,0
n1014,510,Actinobacteriota (N=383),WGS,1,0.1029,0
n1016,511,Actinobacteriota (N=383),MAG,1,0.3354,1
n1018,512,Actinobacteriota (N=383),MAG,2,0.1546,0
n1019,513,Actinobacteriota (N=383),MAG,0,0.0334,1
n1023,514,Actinobacteriota (N=383),SAG,1,0.0546,1
n1026,515,Actinobacteriota (N=383),MAG,0,0.1289,1
n1027,516,Actinobacteriota (N=383),SAG,1,0.0376,0
n1029,517,Actinobacteriota (N=383),MAG,2,0.0436,1
n1030,518,Actinobacteriota (N=383),WGS,1,0.0304,0
n1032,519,Actinobacteriota (N=383),MAG,0,0.0123,1
n1034,520,Actinobacteriota (N=383),MAG,0,0.1075,0
n1037,521,Actinobacteriota (N=383),WGS,0,0.0489,0
n1038,522,Actinobacteriota (N=383),WGS,1,0.004,1
n1039,523,Actinobacteriota (N=383),WGS,2,0.0123,0
n1042,524,Actinobacteriota (N=383),WGS,0,0.0453,0
n1044,525,Actinobacteriota (N=383),MAG,1,0.0412,1
n1045,526,Actinobacteriota (N=383),WGS,2,0.0881,1
n1048,527,Actinobacteriota (N=383),WGS,0,0.0282,1
n1049,528,Actinobacteriota (N=383),MAG,1,0.0801,0
n1052,529,Actinobacteriota (N=383),MAG,1,0.0284,1
n1053,530,Actinobacteriota (N=383),MAG,1,0.0363,1
n1054,531,Actinobacteriota (N=383),WGS,2,0.2328,0
n1059,532,Cyanobacteria (N=281),MAG,1,0.0172,0
n1060,533,Cyanobacteria (N=281),WGS,1,0.0962,0
n1063,534,Cyanobacteria (N=281),WGS,2,0.0997,0
n1064,535,Cyanobacteria (N=281),MAG,2,0.2673,0
n1066,536,Cyanobacteria (N=281),SAG,2,0.0121,0
n1067,537,Cyanobacteria (N=281),WGS,1,0.0171,1
n1070,538,Cyanobacteria (N=281),MAG,2,0.0325,1
n1072,539,Cyanobacteria (N=281),WGS,0,0.0012,0
n1073,540,Cyanobacteria (N=281),WGS,2,0.0269,1
n1076,541,Cyanobacteria (N=281),WGS,1,0.0026,1
n1078,542,Cyanobacteria (N=281),MAG,0,0.0058,0
n1079,543,Cyanobacteria (N=281),MAG,0,0.1755,0
n1082,544,Cyanobacteria (N=281),MAG,0,0.0055,1
n1083,545,Cyanobacteria (N=281),MAG,1,0.06,1
n1084,546,Cyanobacteria (N=281),WGS,1,0.2355,0
n1088,547,Cyanobacteria (N=281),MAG,0,0.0156,1
n1089,548,Cyanobacteria (N=281),WGS,0,0.0092,1
n1092,549,Cyanobacteria (N=281),WGS,1,0.0194,0
n1093,550,Cyanobacteria (N=281),MAG,0,0.141,1
n1094,551,Cyanobacteria (N=281),MAG,1,0.007,0
n1097,552,Cyanobacteria (N=281),WGS,0,0.0377,0
n1098,553,Cyanobacteria (N=281),MAG,1,0.4469,1
n1099,554,Cyanobacteria (N=281),SAG,2,0.0611,1
n1103,555,Other,MAG,0,0.0546,1
n1104,556,Other,WGS,1,0.0022,0
n1107,557,Other,WGS,0,0.0079,0
n1108,558,Other,SAG,0,0.003,0
n1109,559,Other,MAG,1,0.2198,1
n1112,560,Other,SAG,1,0.0715,1
n1113,561,Other,MAG,0,0.1477,1
n1115,562,Other,MAG,1,0.4755,1
n1117,563,Other,MAG,2,0.0656,1
n1118,564,Other,WGS,1,0.0778,0
