marker,group,x,density
NKG2A,c5,0.6804,0.31948
NKG2A,c5,0.7169,0.34028
NKG2A,c5,0.7534,0.36168
NKG2A,c5,0.79,0.38364
NKG2A,c5,0.8265,0.40612
NKG2A,c5,0.863,0.42903
NKG2A,c5,0.8995,0.45233
NKG2A,c5,0.9361,0.47594
NKG2A,c5,0.9726,0.49978
NKG2A,c5,1.0091,0.52378
NKG2A,c5,1.0457,0.54785
NKG2A,c5,1.0822,0.57192
NKG2A,c5,1.1187,0.59588
NKG2A,c5,1.1553,0.61967
NKG2A,c5,1.1918,0.64318
NKG2A,c5,1.2283,0.66634
NKG2A,c5,1.2648,0.68905
NKG2A,c5,1.3014,0.71124
NKG2A,c5,1.3379,0.73282
NKG2A,c5,1.3744,0.75372
NKG2A,c5,1.411,0.77387
NKG2A,c5,1.4475,0.79318
NKG2A,c5,1.484,0.81159
NKG2A,c5,1.5205,0.82905
NKG2A,c5,1.5571,0.84549
NKG2A,c5,1.5936,0.86085
NKG2A,c5,1.6301,0.87509
NKG2A,c5,1.6667,0.88815
NKG2A,c5,1.7032,0.89998
NKG2A,c5,1.7397,0.91054
NKG2A,c5,1.7763,0.91978
NKG2A,c5,1.8128,0.92766
NKG2A,c5,1.8493,0.93415
NKG2A,c5,1.8858,0.93918
NKG2A,c5,1.9224,0.94273
NKG2A,c5,1.9589,0.94475
NKG2A,c5,1.9954,0.94521
NKG2A,c5,2.032,0.94406
NKG2A,c5,2.0685,0.94127
NKG2A,c5,2.105,0.9368
NKG2A,c5,2.1416,0.93064
NKG2A,c5,2.1781,0.92274
NKG2A,c5,2.2146,0.91312
NKG2A,c5,2.2511,0.90174
NKG2A,c5,2.2877,0.88863
NKG2A,c5,2.3242,0.87379
NKG2A,c5,2.3607,0.85726
NKG2A,c5,2.3973,0.83908
NKG2A,c5,2.4338,0.81931
NKG2A,c5,2.4703,0.79801
NKG2A,c5,2.5068,0.77528
NKG2A,c5,2.5434,0.75123
NKG2A,c5,2.5799,0.72596
NKG2A,c5,2.6164,0.69961
NKG2A,c5,2.653,0.67232
NKG2A,c5,2.6895,0.64425
NKG2A,c5,2.726,0.61555
NKG2A,c5,2.7626,0.5864
NKG2A,c5,2.7991,0.55695
NKG2A,c5,2.8356,0.52739
NKG2A,c5,2.8721,0.49787
NKG2A,c5,2.9087,0.46857
NKG2A,c5,2.9452,0.43964
NKG2A,c5,2.9817,0.41123
NKG2A,c5,3.0183,0.38347
NKG2A,c5,3.0548,0.35649
NKG2A,c5,3.0913,0.3304
NKG2A,c5,3.1279,0.30529
NKG2A,c5,3.1644,0.28125
NKG2A,c5,3.2009,0.25833
NKG2A,c5,3.2374,0.23659
NKG2A,c5,3.274,0.21605
NKG2A,c5,3.3105,0.19674
NKG2A,c5,3.347,0.17866
NKG2A,c5,3.3836,0.16181
NKG2A,c5,3.4201,0.14615
NKG2A,c5,3.4566,0.13168
NKG2A,c5,3.4932,0.11834
NKG2A,c5,3.5297,0.10609
NKG2A,c5,3.5662,0.09489
NKG2A,c5,3.6027,0.08468
NKG2A,c5,3.6393,0.0754
NKG2A,c5,3.6758,0.06699
NKG2A,c5,3.7123,0.0594
NKG2A,c5,3.7489,0.05257
NKG2A,c5,3.7854,0.04643
NKG2A,c5,3.8219,0.04093
NKG2A,c5,3.8584,0.03602
NKG2A,c5,3.895,0.03164
NKG2A,c5,3.9315,0.02775
NKG2A,c5,3.968,0.02429
NKG2A,c5,4.0046,0.02123
NKG2A,c5,4.0411,0.01853
NKG2A,c5,4.0776,0.01615
NKG2A,c5,4.1142,0.01405
NKG2A,c5,4.1507,0.0122
NKG2A,c5,4.1872,0.01058
NKG2A,c5,4.2237,0.00916
NKG2A,c5,4.2603,0.00792
NKG2A,c5,4.2968,0.00683
NKG2A,c5,4.3333,0.00589
NKG2A,c5,4.3699,0.00507
NKG2A,c5,4.4064,0.00435
NKG2A,c5,4.4429,0.00373
NKG2A,c5,4.4795,0.00319
NKG2A,c5,4.516,0.00273
NKG2A,c5,4.5525,0.00233
NKG2A,c5,4.589,0.00198
NKG2A,c5,4.6256,0.00169
NKG2A,c5,4.6621,0.00143
NKG2A,c5,4.6986,0.00121
NKG2A,c5,4.7352,0.00102
NKG2A,c5,4.7717,0.00086
NKG2A,c5,4.8082,0.00073
NKG2A,c5,4.8447,0.00061
NKG2A,c5,4.8813,0.00051
NKG2A,c5,4.9178,0.00043
NKG2A,c5,4.9543,0.00036
NKG2A,c5,4.9909,0.0003
NKG2A,c5,5.0274,0.00025
NKG2A,c5,5.0639,0.00021
NKG2A,c5,5.1005,0.00017
NKG2A,c5,5.137,0.00014
NKG2A,c5,5.1735,0.00012
NKG2A,c5,5.21,0.0001
NKG2A,c5,5.2466,8e-05
NKG2A,c5,5.2831,7e-05
NKG2A,c5,5.3196,5e-05
NKG2A,c5,5.3562,4e-05
NKG2A,c5,5.3927,4e-05
NKG2A,c5,5.4292,3e-05
NKG2A,c5,5.4658,2e-05
NKG2A,c5,5.5023,2e-05
NKG2A,c5,5.5388,2e-05
NKG2A,c5,5.5753,1e-05
NKG2A,c5,5.6119,1e-05
NKG2A,c5,5.6484,1e-05
NKG2A,c5,5.6849,1e-05
NKG2A,c5,5.7215,1e-05
NKG2A,c5,5.758,0.0
NKG2A,c5,5.7945,0.0
NKG2A,c5,5.8311,0.0
NKG2A,c5,5.8676,0.0
NKG2A,c5,5.9041,0.0
NKG2A,c5,5.9406,0.0
NKG2A,c5,5.9772,0.0
NKG2A,c5,6.0137,0.0
NKG2A,c5,6.0502,0.0
NKG2A,c5,6.0868,0.0
NKG2A,c5,6.1233,0.0
NKG2A,c5,6.1598,0.0
NKG2A,c5,6.1963,0.0
NKG2A,c5,6.2329,0.0
NKG2A,c5,6.2694,0.0
NKG2A,c5,6.3059,0.0
NKG2A,c5,6.3425,0.0
NKG2A,c5,6.379,0.0
NKG2A,c5,6.4155,0.0
NKG2A,c5,6.4521,0.0
NKG2A,c5,6.4886,0.0
NKG2A,c5,6.5251,0.0
NKG2A,c5,6.5616,0.0
NKG2A,c5,6.5982,0.0
NKG2A,c5,6.6347,0.0
NKG2A,c5,6.6712,0.0
NKG2A,c5,6.7078,0.0
NKG2A,c5,6.7443,0.0
NKG2A,c5,6.7808,0.0
NKG2A,c5,6.8174,0.0
NKG2A,c5,6.8539,0.0
NKG2A,c5,6.8904,0.0
NKG2A,c5,6.9269,0.0
NKG2A,c5,6.9635,0.0
NKG2A,c5,7.0,0.0
NKG2A,c6,-1.0,0.00112
NKG2A,c6,-0.9635,0.00132
NKG2A,c6,-0.9269,0.00155
NKG2A,c6,-0.8904,0.00182
NKG2A,c6,-0.8539,0.00214
NKG2A,c6,-0.8174,0.0025
NKG2A,c6,-0.7808,0.00292
NKG2A,c6,-0.7443,0.00339
NKG2A,c6,-0.7078,0.00394
NKG2A,c6,-0.6712,0.00457
NKG2A,c6,-0.6347,0.00529
NKG2A,c6,-0.5982,0.0061
NKG2A,c6,-0.5616,0.00703
NKG2A,c6,-0.5251,0.00808
NKG2A,c6,-0.4886,0.00927
NKG2A,c6,-0.4521,0.01062
NKG2A,c6,-0.4155,0.01213
NKG2A,c6,-0.379,0.01383
NKG2A,c6,-0.3425,0.01574
NKG2A,c6,-0.3059,0.01787
NKG2A,c6,-0.2694,0.02024
NKG2A,c6,-0.2329,0.02289
NKG2A,c6,-0.1963,0.02582
NKG2A,c6,-0.1598,0.02908
NKG2A,c6,-0.1233,0.03267
NKG2A,c6,-0.0868,0.03663
NKG2A,c6,-0.0502,0.04099
NKG2A,c6,-0.0137,0.04576
NKG2A,c6,0.0228,0.05099
NKG2A,c6,0.0594,0.0567
NKG2A,c6,0.0959,0.06292
NKG2A,c6,0.1324,0.06967
NKG2A,c6,0.1689,0.07698
NKG2A,c6,0.2055,0.08489
NKG2A,c6,0.242,0.09341
NKG2A,c6,0.2785,0.10258
NKG2A,c6,0.3151,0.1124
NKG2A,c6,0.3516,0.12292
NKG2A,c6,0.3881,0.13414
NKG2A,c6,0.4247,0.14607
NKG2A,c6,0.4612,0.15874
NKG2A,c6,0.4977,0.17215
NKG2A,c6,0.5342,0.1863
NKG2A,c6,0.5708,0.20119
NKG2A,c6,0.6073,0.21683
NKG2A,c6,0.6438,0.23319
NKG2A,c6,0.6804,0.25026
NKG2A,c6,0.7169,0.26802
NKG2A,c6,0.7534,0.28645
NKG2A,c6,0.79,0.3055
NKG2A,c6,0.8265,0.32514
NKG2A,c6,0.863,0.34533
NKG2A,c6,0.8995,0.36601
NKG2A,c6,0.9361,0.38711
NKG2A,c6,0.9726,0.40858
NKG2A,c6,1.0091,0.43034
NKG2A,c6,1.0457,0.45232
NKG2A,c6,1.0822,0.47443
NKG2A,c6,1.1187,0.49658
NKG2A,c6,1.1553,0.51868
NKG2A,c6,1.1918,0.54064
NKG2A,c6,1.2283,0.56236
NKG2A,c6,1.2648,0.58373
NKG2A,c6,1.3014,0.60465
NKG2A,c6,1.3379,0.62501
NKG2A,c6,1.3744,0.64472
NKG2A,c6,1.411,0.66366
NKG2A,c6,1.4475,0.68173
NKG2A,c6,1.484,0.69884
NKG2A,c6,1.5205,0.71489
NKG2A,c6,1.5571,0.72978
NKG2A,c6,1.5936,0.74343
NKG2A,c6,1.6301,0.75575
NKG2A,c6,1.6667,0.76669
NKG2A,c6,1.7032,0.77616
NKG2A,c6,1.7397,0.78411
NKG2A,c6,1.7763,0.79049
NKG2A,c6,1.8128,0.79526
NKG2A,c6,1.8493,0.7984
NKG2A,c6,1.8858,0.79987
NKG2A,c6,1.9224,0.79969
NKG2A,c6,1.9589,0.79783
NKG2A,c6,1.9954,0.79433
NKG2A,c6,2.032,0.78919
NKG2A,c6,2.0685,0.78245
NKG2A,c6,2.105,0.77416
NKG2A,c6,2.1416,0.76435
NKG2A,c6,2.1781,0.7531
NKG2A,c6,2.2146,0.74047
NKG2A,c6,2.2511,0.72653
NKG2A,c6,2.2877,0.71137
NKG2A,c6,2.3242,0.69508
NKG2A,c6,2.3607,0.67775
NKG2A,c6,2.3973,0.65947
NKG2A,c6,2.4338,0.64035
NKG2A,c6,2.4703,0.62048
NKG2A,c6,2.5068,0.59998
NKG2A,c6,2.5434,0.57895
NKG2A,c6,2.5799,0.5575
NKG2A,c6,2.6164,0.53572
NKG2A,c6,2.653,0.51372
NKG2A,c6,2.6895,0.49159
NKG2A,c6,2.726,0.46944
NKG2A,c6,2.7626,0.44736
NKG2A,c6,2.7991,0.42542
NKG2A,c6,2.8356,0.40372
NKG2A,c6,2.8721,0.38233
NKG2A,c6,2.9087,0.36131
NKG2A,c6,2.9452,0.34074
NKG2A,c6,2.9817,0.32068
NKG2A,c6,3.0183,0.30116
NKG2A,c6,3.0548,0.28225
NKG2A,c6,3.0913,0.26397
NKG2A,c6,3.1279,0.24636
NKG2A,c6,3.1644,0.22944
NKG2A,c6,3.2009,0.21325
NKG2A,c6,3.2374,0.19778
NKG2A,c6,3.274,0.18305
NKG2A,c6,3.3105,0.16907
NKG2A,c6,3.347,0.15583
NKG2A,c6,3.3836,0.14333
NKG2A,c6,3.4201,0.13155
NKG2A,c6,3.4566,0.12049
NKG2A,c6,3.4932,0.11013
NKG2A,c6,3.5297,0.10046
NKG2A,c6,3.5662,0.09144
NKG2A,c6,3.6027,0.08306
NKG2A,c6,3.6393,0.07529
NKG2A,c6,3.6758,0.0681
NKG2A,c6,3.7123,0.06147
NKG2A,c6,3.7489,0.05537
NKG2A,c6,3.7854,0.04977
NKG2A,c6,3.8219,0.04465
NKG2A,c6,3.8584,0.03997
NKG2A,c6,3.895,0.0357
NKG2A,c6,3.9315,0.03183
NKG2A,c6,3.968,0.02831
NKG2A,c6,4.0046,0.02514
NKG2A,c6,4.0411,0.02227
NKG2A,c6,4.0776,0.01969
NKG2A,c6,4.1142,0.01737
NKG2A,c6,4.1507,0.01529
NKG2A,c6,4.1872,0.01343
NKG2A,c6,4.2237,0.01178
NKG2A,c6,4.2603,0.0103
NKG2A,c6,4.2968,0.00899
NKG2A,c6,4.3333,0.00784
NKG2A,c6,4.3699,0.00681
NKG2A,c6,4.4064,0.00591
NKG2A,c6,4.4429,0.00512
NKG2A,c6,4.4795,0.00442
NKG2A,c6,4.516,0.00381
NKG2A,c6,4.5525,0.00328
NKG2A,c6,4.589,0.00282
NKG2A,c6,4.6256,0.00241
NKG2A,c6,4.6621,0.00206
NKG2A,c6,4.6986,0.00176
NKG2A,c6,4.7352,0.0015
NKG2A,c6,4.7717,0.00127
NKG2A,c6,4.8082,0.00108
NKG2A,c6,4.8447,0.00091
NKG2A,c6,4.8813,0.00077
NKG2A,c6,4.9178,0.00065
NKG2A,c6,4.9543,0.00055
NKG2A,c6,4.9909,0.00046
NKG2A,c6,5.0274,0.00038
NKG2A,c6,5.0639,0.00032
NKG2A,c6,5.1005,0.00027
NKG2A,c6,5.137,0.00022
NKG2A,c6,5.1735,0.00019
NKG2A,c6,5.21,0.00015
NKG2A,c6,5.2466,0.00013
NKG2A,c6,5.2831,0.0001
NKG2A,c6,5.3196,9e-05
NKG2A,c6,5.3562,7e-05
NKG2A,c6,5.3927,6e-05
NKG2A,c6,5.4292,5e-05
NKG2A,c6,5.4658,4e-05
NKG2A,c6,5.5023,3e-05
NKG2A,c6,5.5388,3e-05
NKG2A,c6,5.5753,2e-05
NKG2A,c6,5.6119,2e-05
NKG2A,c6,5.6484,1e-05
NKG2A,c6,5.6849,1e-05
NKG2A,c6,5.7215,1e-05
NKG2A,c6,5.758,1e-05
NKG2A,c6,5.7945,1e-05
NKG2A,c6,5.8311,0.0
NKG2A,c6,5.8676,0.0
NKG2A,c6,5.9041,0.0
NKG2A,c6,5.9406,0.0
NKG2A,c6,5.9772,0.0
NKG2A,c6,6.0137,0.0
NKG2A,c6,6.0502,0.0
NKG2A,c6,6.0868,0.0
NKG2A,c6,6.1233,0.0
NKG2A,c6,6.1598,0.0
NKG2A,c6,6.1963,0.0
NKG2A,c6,6.2329,0.0
NKG2A,c6,6.2694,0.0
NKG2A,c6,6.3059,0.0
NKG2A,c6,6.3425,0.0
NKG2A,c6,6.379,0.0
NKG2A,c6,6.4155,0.0
NKG2A,c6,6.4521,0.0
NKG2A,c6,6.4886,0.0
NKG2A,c6,6.5251,0.0
NKG2A,c6,6.5616,0.0
NKG2A,c6,6.5982,0.0
NKG2A,c6,6.6347,0.0
NKG2A,c6,6.6712,0.0
NKG2A,c6,6.7078,0.0
NKG2A,c6,6.7443,0.0
NKG2A,c6,6.7808,0.0
NKG2A,c6,6.8174,0.0
NKG2A,c6,6.8539,0.0
NKG2A,c6,6.8904,0.0
NKG2A,c6,6.9269,0.0
NKG2A,c6,6.9635,0.0
NKG2A,c6,7.0,0.0
NKG2A,c7,-1.0,0.00085
NKG2A,c7,-0.9635,0.00101
NKG2A,c7,-0.9269,0.00121
NKG2A,c7,-0.8904,0.00145
NKG2A,c7,-0.8539,0.00172
NKG2A,c7,-0.8174,0.00204
NKG2A,c7,-0.7808,0.00242
NKG2A,c7,-0.7443,0.00285
NKG2A,c7,-0.7078,0.00336
NKG2A,c7,-0.6712,0.00395
NKG2A,c7,-0.6347,0.00463
NKG2A,c7,-0.5982,0.00542
NKG2A,c7,-0.5616,0.00633
NKG2A,c7,-0.5251,0.00737
NKG2A,c7,-0.4886,0.00856
NKG2A,c7,-0.4521,0.00992
NKG2A,c7,-0.4155,0.01146
NKG2A,c7,-0.379,0.01322
NKG2A,c7,-0.3425,0.01521
NKG2A,c7,-0.3059,0.01747
NKG2A,c7,-0.2694,0.02
NKG2A,c7,-0.2329,0.02285
NKG2A,c7,-0.1963,0.02604
NKG2A,c7,-0.1598,0.02961
NKG2A,c7,-0.1233,0.03359
NKG2A,c7,-0.0868,0.03802
NKG2A,c7,-0.0502,0.04292
NKG2A,c7,-0.0137,0.04835
NKG2A,c7,0.0228,0.05433
NKG2A,c7,0.0594,0.0609
NKG2A,c7,0.0959,0.06811
NKG2A,c7,0.1324,0.07599
NKG2A,c7,0.1689,0.08458
NKG2A,c7,0.2055,0.09392
NKG2A,c7,0.242,0.10404
NKG2A,c7,0.2785,0.11498
NKG2A,c7,0.3151,0.12677
NKG2A,c7,0.3516,0.13944
NKG2A,c7,0.3881,0.15301
NKG2A,c7,0.4247,0.1675
NKG2A,c7,0.4612,0.18294
NKG2A,c7,0.4977,0.19932
NKG2A,c7,0.5342,0.21665
NKG2A,c7,0.5708,0.23493
NKG2A,c7,0.6073,0.25415
NKG2A,c7,0.6438,0.27429
NKG2A,c7,0.6804,0.29533
NKG2A,c7,0.7169,0.31723
NKG2A,c7,0.7534,0.33994
NKG2A,c7,0.79,0.36342
NKG2A,c7,0.8265,0.3876
NKG2A,c7,0.863,0.4124
NKG2A,c7,0.8995,0.43776
NKG2A,c7,0.9361,0.46357
NKG2A,c7,0.9726,0.48974
NKG2A,c7,1.0091,0.51616
NKG2A,c7,1.0457,0.54272
NKG2A,c7,1.0822,0.56929
NKG2A,c7,1.1187,0.59575
NKG2A,c7,1.1553,0.62196
NKG2A,c7,1.1918,0.64779
NKG2A,c7,1.2283,0.67309
NKG2A,c7,1.2648,0.69772
NKG2A,c7,1.3014,0.72154
NKG2A,c7,1.3379,0.7444
NKG2A,c7,1.3744,0.76617
NKG2A,c7,1.411,0.78671
NKG2A,c7,1.4475,0.80588
NKG2A,c7,1.484,0.82357
NKG2A,c7,1.5205,0.83964
NKG2A,c7,1.5571,0.85401
NKG2A,c7,1.5936,0.86656
NKG2A,c7,1.6301,0.87721
NKG2A,c7,1.6667,0.88589
NKG2A,c7,1.7032,0.89253
NKG2A,c7,1.7397,0.8971
NKG2A,c7,1.7763,0.89955
NKG2A,c7,1.8128,0.89987
NKG2A,c7,1.8493,0.89806
NKG2A,c7,1.8858,0.89412
NKG2A,c7,1.9224,0.8881
NKG2A,c7,1.9589,0.88002
NKG2A,c7,1.9954,0.86996
NKG2A,c7,2.032,0.85797
NKG2A,c7,2.0685,0.84414
NKG2A,c7,2.105,0.82856
NKG2A,c7,2.1416,0.81135
NKG2A,c7,2.1781,0.79261
NKG2A,c7,2.2146,0.77247
NKG2A,c7,2.2511,0.75106
NKG2A,c7,2.2877,0.72851
NKG2A,c7,2.3242,0.70496
NKG2A,c7,2.3607,0.68056
NKG2A,c7,2.3973,0.65544
NKG2A,c7,2.4338,0.62976
NKG2A,c7,2.4703,0.60365
NKG2A,c7,2.5068,0.57725
NKG2A,c7,2.5434,0.5507
NKG2A,c7,2.5799,0.52412
NKG2A,c7,2.6164,0.49764
NKG2A,c7,2.653,0.47139
NKG2A,c7,2.6895,0.44546
NKG2A,c7,2.726,0.41996
NKG2A,c7,2.7626,0.39498
NKG2A,c7,2.7991,0.3706
NKG2A,c7,2.8356,0.34691
NKG2A,c7,2.8721,0.32396
NKG2A,c7,2.9087,0.30181
NKG2A,c7,2.9452,0.28051
NKG2A,c7,2.9817,0.2601
NKG2A,c7,3.0183,0.2406
NKG2A,c7,3.0548,0.22203
NKG2A,c7,3.0913,0.20442
NKG2A,c7,3.1279,0.18775
NKG2A,c7,3.1644,0.17203
NKG2A,c7,3.2009,0.15726
NKG2A,c7,3.2374,0.14341
NKG2A,c7,3.274,0.13048
NKG2A,c7,3.3105,0.11843
NKG2A,c7,3.347,0.10723
NKG2A,c7,3.3836,0.09687
NKG2A,c7,3.4201,0.0873
NKG2A,c7,3.4566,0.07849
NKG2A,c7,3.4932,0.0704
NKG2A,c7,3.5297,0.06299
NKG2A,c7,3.5662,0.05623
NKG2A,c7,3.6027,0.05008
NKG2A,c7,3.6393,0.04449
NKG2A,c7,3.6758,0.03944
NKG2A,c7,3.7123,0.03487
NKG2A,c7,3.7489,0.03076
NKG2A,c7,3.7854,0.02707
NKG2A,c7,3.8219,0.02377
NKG2A,c7,3.8584,0.02082
NKG2A,c7,3.895,0.01819
NKG2A,c7,3.9315,0.01586
NKG2A,c7,3.968,0.01379
NKG2A,c7,4.0046,0.01197
NKG2A,c7,4.0411,0.01036
NKG2A,c7,4.0776,0.00895
NKG2A,c7,4.1142,0.00771
NKG2A,c7,4.1507,0.00662
NKG2A,c7,4.1872,0.00568
NKG2A,c7,4.2237,0.00486
NKG2A,c7,4.2603,0.00415
NKG2A,c7,4.2968,0.00353
NKG2A,c7,4.3333,0.003
NKG2A,c7,4.3699,0.00254
NKG2A,c7,4.4064,0.00215
NKG2A,c7,4.4429,0.00181
NKG2A,c7,4.4795,0.00152
NKG2A,c7,4.516,0.00128
NKG2A,c7,4.5525,0.00107
NKG2A,c7,4.589,0.00089
NKG2A,c7,4.6256,0.00075
NKG2A,c7,4.6621,0.00062
NKG2A,c7,4.6986,0.00051
NKG2A,c7,4.7352,0.00043
NKG2A,c7,4.7717,0.00035
NKG2A,c7,4.8082,0.00029
NKG2A,c7,4.8447,0.00024
NKG2A,c7,4.8813,0.00019
NKG2A,c7,4.9178,0.00016
NKG2A,c7,4.9543,0.00013
NKG2A,c7,4.9909,0.00011
NKG2A,c7,5.0274,9e-05
NKG2A,c7,5.0639,7e-05
NKG2A,c7,5.1005,6e-05
NKG2A,c7,5.137,5e-05
NKG2A,c7,5.1735,4e-05
NKG2A,c7,5.21,3e-05
NKG2A,c7,5.2466,2e-05
NKG2A,c7,5.2831,2e-05
NKG2A,c7,5.3196,1e-05
NKG2A,c7,5.3562,1e-05
NKG2A,c7,5.3927,1e-05
NKG2A,c7,5.4292,1e-05
NKG2A,c7,5.4658,1e-05
NKG2A,c7,5.5023,0.0
NKG2A,c7,5.5388,0.0
NKG2A,c7,5.5753,0.0
NKG2A,c7,5.6119,0.0
NKG2A,c7,5.6484,0.0
NKG2A,c7,5.6849,0.0
NKG2A,c7,5.7215,0.0
NKG2A,c7,5.758,0.0
NKG2A,c7,5.7945,0.0
NKG2A,c7,5.8311,0.0
NKG2A,c7,5.8676,0.0
NKG2A,c7,5.9041,0.0
NKG2A,c7,5.9406,0.0
NKG2A,c7,5.9772,0.0
NKG2A,c7,6.0137,0.0
NKG2A,c7,6.0502,0.0
NKG2A,c7,6.0868,0.0
NKG2A,c7,6.1233,0.0
NKG2A,c7,6.1598,0.0
NKG2A,c7,6.1963,0.0
NKG2A,c7,6.2329,0.0
NKG2A,c7,6.2694,0.0
NKG2A,c7,6.3059,0.0
NKG2A,c7,6.3425,0.0
NKG2A,c7,6.379,0.0
NKG2A,c7,6.4155,0.0
NKG2A,c7,6.4521,0.0
NKG2A,c7,6.4886,0.0
NKG2A,c7,6.5251,0.0
NKG2A,c7,6.5616,0.0
NKG2A,c7,6.5982,0.0
NKG2A,c7,6.6347,0.0
NKG2A,c7,6.6712,0.0
NKG2A,c7,6.7078,0.0
NKG2A,c7,6.7443,0.0
NKG2A,c7,6.7808,0.0
NKG2A,c7,6.8174,0.0
NKG2A,c7,6.8539,0.0
NKG2A,c7,6.8904,0.0
NKG2A,c7,6.9269,0.0
NKG2A,c7,6.9635,0.0
NKG2A,c7,7.0,0.0
NKG2A,c8,-1.0,0.00025
NKG2A,c8,-0.9635,0.00031
NKG2A,c8,-0.9269,0.00038
NKG2A,c8,-0.8904,0.00046
NKG2A,c8,-0.8539,0.00057
NKG2A,c8,-0.8174,0.00069
NKG2A,c8,-0.7808,0.00084
NKG2A,c8,-0.7443,0.00101
NKG2A,c8,-0.7078,0.00122
NKG2A,c8,-0.6712,0.00147
NKG2A,c8,-0.6347,0.00177
NKG2A,c8,-0.5982,0.00212
NKG2A,c8,-0.5616,0.00253
NKG2A,c8,-0.5251,0.00301
NKG2A,c8,-0.4886,0.00358
NKG2A,c8,-0.4521,0.00424
NKG2A,c8,-0.4155,0.00501
NKG2A,c8,-0.379,0.0059
NKG2A,c8,-0.3425,0.00693
NKG2A,c8,-0.3059,0.00812
NKG2A,c8,-0.2694,0.00949
NKG2A,c8,-0.2329,0.01106
NKG2A,c8,-0.1963,0.01285
NKG2A,c8,-0.1598,0.01489
NKG2A,c8,-0.1233,0.01721
NKG2A,c8,-0.0868,0.01984
NKG2A,c8,-0.0502,0.0228
NKG2A,c8,-0.0137,0.02614
NKG2A,c8,0.0228,0.02988
NKG2A,c8,0.0594,0.03407
NKG2A,c8,0.0959,0.03874
NKG2A,c8,0.1324,0.04393
NKG2A,c8,0.1689,0.04967
NKG2A,c8,0.2055,0.05602
NKG2A,c8,0.242,0.063
NKG2A,c8,0.2785,0.07067
NKG2A,c8,0.3151,0.07905
NKG2A,c8,0.3516,0.08818
NKG2A,c8,0.3881,0.0981
NKG2A,c8,0.4247,0.10884
NKG2A,c8,0.4612,0.12043
NKG2A,c8,0.4977,0.13289
NKG2A,c8,0.5342,0.14624
NKG2A,c8,0.5708,0.16049
NKG2A,c8,0.6073,0.17566
NKG2A,c8,0.6438,0.19173
NKG2A,c8,0.6804,0.2087
NKG2A,c8,0.7169,0.22656
NKG2A,c8,0.7534,0.24528
NKG2A,c8,0.79,0.26482
NKG2A,c8,0.8265,0.28515
NKG2A,c8,0.863,0.30619
NKG2A,c8,0.8995,0.3279
NKG2A,c8,0.9361,0.35019
NKG2A,c8,0.9726,0.37298
NKG2A,c8,1.0091,0.39617
NKG2A,c8,1.0457,0.41966
NKG2A,c8,1.0822,0.44333
NKG2A,c8,1.1187,0.46706
NKG2A,c8,1.1553,0.49073
NKG2A,c8,1.1918,0.51419
NKG2A,c8,1.2283,0.53731
NKG2A,c8,1.2648,0.55994
NKG2A,c8,1.3014,0.58194
NKG2A,c8,1.3379,0.60316
NKG2A,c8,1.3744,0.62345
NKG2A,c8,1.411,0.64267
NKG2A,c8,1.4475,0.66068
NKG2A,c8,1.484,0.67736
NKG2A,c8,1.5205,0.69256
NKG2A,c8,1.5571,0.70618
NKG2A,c8,1.5936,0.71811
NKG2A,c8,1.6301,0.72826
NKG2A,c8,1.6667,0.73654
NKG2A,c8,1.7032,0.7429
NKG2A,c8,1.7397,0.74728
NKG2A,c8,1.7763,0.74965
NKG2A,c8,1.8128,0.74999
NKG2A,c8,1.8493,0.7483
NKG2A,c8,1.8858,0.74461
NKG2A,c8,1.9224,0.73895
NKG2A,c8,1.9589,0.73138
NKG2A,c8,1.9954,0.72196
NKG2A,c8,2.032,0.7108
NKG2A,c8,2.0685,0.69799
NKG2A,c8,2.105,0.68366
NKG2A,c8,2.1416,0.66796
NKG2A,c8,2.1781,0.65103
NKG2A,c8,2.2146,0.63305
NKG2A,c8,2.2511,0.6142
NKG2A,c8,2.2877,0.59467
NKG2A,c8,2.3242,0.57468
NKG2A,c8,2.3607,0.55442
NKG2A,c8,2.3973,0.53413
NKG2A,c8,2.4338,0.51402
NKG2A,c8,2.4703,0.49432
NKG2A,c8,2.5068,0.47525
NKG2A,c8,2.5434,0.45703
NKG2A,c8,2.5799,0.43986
NKG2A,c8,2.6164,0.42394
NKG2A,c8,2.653,0.40943
NKG2A,c8,2.6895,0.39647
NKG2A,c8,2.726,0.38519
NKG2A,c8,2.7626,0.37565
NKG2A,c8,2.7991,0.3679
NKG2A,c8,2.8356,0.36193
NKG2A,c8,2.8721,0.35768
NKG2A,c8,2.9087,0.35506
NKG2A,c8,2.9452,0.35391
NKG2A,c8,2.9817,0.35404
NKG2A,c8,3.0183,0.35521
NKG2A,c8,3.0548,0.35714
NKG2A,c8,3.0913,0.35955
NKG2A,c8,3.1279,0.36209
NKG2A,c8,3.1644,0.36445
NKG2A,c8,3.2009,0.36629
NKG2A,c8,3.2374,0.3673
NKG2A,c8,3.274,0.36718
NKG2A,c8,3.3105,0.36569
NKG2A,c8,3.347,0.36261
NKG2A,c8,3.3836,0.35779
NKG2A,c8,3.4201,0.35113
NKG2A,c8,3.4566,0.3426
NKG2A,c8,3.4932,0.33221
NKG2A,c8,3.5297,0.32006
NKG2A,c8,3.5662,0.30628
NKG2A,c8,3.6027,0.29106
